name,address1,address2,city,state,zip,phone,url,tags,latitude,longitude,icon,geid,personify_brcode,shadow,HRS Mon-Fri,HRS Sat-Sun
Andover,15200 Hanson Blvd.,,Andover,MN,55304,763-230-9622,/locations/andover_ymca_community_center/,YMCA,45.2456,-93.309374,/_asset/z8xsu9/map_icon_blue.png,26,32,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Blaisdell,3335 Blaisdell Avenue,,Minneapolis,MN,55408,612-827-5401,/locations/blaisdell_ymca/,YMCA,44.9423198,-93.2794866,/_asset/z8xsu9/map_icon_blue.png,33,14,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 8:00 p.m.
Burnsville,13850 Portland Avenue,,Burnsville,MN,55337,952-898-9622,/locations/burnsville_ymca/,YMCA,44.75288,-93.270104,/_asset/z8xsu9/map_icon_blue.png,30,30,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Eagan,550 Opperman Drive,,Eagan,MN,55123,651-456-9622,/locations/eagan_ymca/,YMCA,44.825809,-93.107634,/_asset/z8xsu9/map_icon_blue.png,16,82,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Eagan Early Childhood Learning Center,550 Opperman Drive,,Eagan,MN,55123,651-456-9622,/child_care__preschool/full-day_child_care/locations/eagan/,Childcare,44.825809,-93.107634,/_asset/qdw1v8/map_icon_green.png,,,/amm/themes/2011_ymca/images/map_shadow.png,,
Elk River,13337 Business Center Drive NW,,Elk River,MN,55330,763-230-2800,/locations/elk_river_ymca/,YMCA,45.3056838,-93.6077115,/_asset/z8xsu9/map_icon_blue.png,27,34,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Emma B. Howe - Coon Rapids,8950 Springbrook Drive NW,,Coon Rapids,MN,55433,763-785-7882,/locations/emma_b_howe_ymca/,YMCA,45.1333115,-93.2727042,/_asset/z8xsu9/map_icon_blue.png,34,27,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Hastings,85 Pleasant Drive,,Hastings,MN,55033,651-480-8887,/locations/hastings_ymca/,YMCA,44.746911,-92.8766459,/_asset/z8xsu9/map_icon_blue.png,19,85,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Heritage Park,1015 4th Avenue North,,Minneapolis,MN,55405,612-821-2193,/locations/heritage_park_ymca/,YMCA,44.981475,-93.292336,/_asset/z8xsu9/map_icon_blue.png,27,18,/amm/themes/2011_ymca/images/map_shadow.png,6:00 a.m. - 7:30 p.m.,SAT 9:00 a.m. - 5:00 p.m. SUN 9:00 a.m. - 2:00 p.m.
Hudson,2211 Vine Street,,Hudson,WI,54016,715-386-1616,/locations/hudson_ymca/,YMCA,44.978986,-92.7282819,/_asset/z8xsu9/map_icon_blue.png,17,84,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Lino Lakes,7690 Village Drive,,Lino Lakes,MN,55014,651-795-9622,/locations/lino_lakes_ymca/,YMCA,45.1788972,-93.1123411,/_asset/z8xsu9/map_icon_blue.png,18,81,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
Minneapolis Downtown,30 South 9th Street,,Minneapolis,MN,55402,612-371-9622,/locations/minneapolis_downtown_ymca/,YMCA,44.975865,-93.275515,/_asset/z8xsu9/map_icon_blue.png,28,17,/amm/themes/2011_ymca/images/map_shadow.png,5:30 a.m. - 10:00 p.m.,7:00 a.m. - 8:00 p.m.
New Hope,7601 42nd Avenue North,,New Hope,MN,55427,763-535-4800,/locations/new_hope_ymca/,YMCA,45.030905,-93.377205,/_asset/z8xsu9/map_icon_blue.png,31,24,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
North Community,1711 West Broadway Ave,,Minneapolis,MN,55411,612-588-9484,/locations/north_community_ymca/,YMCA,44.999172,-93.302562,/_asset/z8xsu9/map_icon_blue.png,27,16,/amm/themes/2011_ymca/images/map_shadow.png,2:00 p.m. - 7:30 p.m.,Closed
Ridgedale,12301 Ridgedale Drive,,Minnetonka,MN,55305,952-544-7708,/locations/ridgedale_ymca/,YMCA,44.964819,-93.434734,/_asset/z8xsu9/map_icon_blue.png,32,22,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
River Valley,3575 N. Berens Road NW,,Prior Lake,MN,55379,952-230-9622,/locations/river_valley_ymca/,YMCA,44.752199,-93.445317,/_asset/z8xsu9/map_icon_blue.png,53,36,/amm/themes/2011_ymca/images/map_shadow.png,5:00 a.m. - 10:00 p.m.,6:00 a.m. - 9:00 p.m.
