guid,location_name,description,contact,address,address2,city,state,zipcode,country,phone,fax,email,website,latitude,longitude,hq,entity,allow_anonymous_view,allow_user_view,allow_member_view,allow_user_edit,allow_member_edit,create_dt,update_dt,creator,creator_username,owner,owner_username,status,status_detail,amenities
086dfc7a-3bc7-11e1-952a-12313b0f39a2,Aldine - Greenspoint,,,10960 North Fwy,,Houston,TX,,,832.484.9622,,,/aldine-greenspoint/,29.924057,-95.411635,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:49,26,,6,NSwallow,True,active
08834a8a-3bc7-11e1-952a-12313b0f39a2,Baytown,,,201 YMCA Dr.,,Baytown,TX,,,281.427.1797,,,/baytown/,29.785355,-94.971667,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:50,26,,6,NSwallow,True,active,1;4;9;22
088c7d94-3bc7-11e1-952a-12313b0f39a2,Brenda and John Duncan,,,10655 Clay Rd.,,Houston,TX,,,713.467.9622,,,/clay-road/,29.831879,-95.554497,False,1,True,False,False,False,False,2009-01-06 16:08,2012-10-29 11:16,26,,6,NSwallow,True,active,2;3;4;6;7;8;9;10;11;12;14;17;18;20;22;23;24;26
0948ac4e-3bc7-11e1-952a-12313b0f39a2,Conroe,,,10245 Owen Dr.,,Conroe,TX,,,936.756.9345,,,/conroe/,30.30239,-95.512608,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:51,26,,6,NSwallow,True,active,1;3;4;7;8;9;10;15;16;17;18;19;20;22;23;24;26
09541714-3bc7-11e1-952a-12313b0f39a2,Cossaboom,,,7903 S. Loop E.,,Houston,TX,,,713.643.4396,,,/cossaboom/,29.700426,-95.281766,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:51,26,,6,NSwallow,True,active,3;4;7;9;10;11;12;15;16;20;22;23;24;26
095dccc8-3bc7-11e1-952a-12313b0f39a2,D. Bradley McWilliams at Cypress Creek,,,19915 S.H. 249,,Houston,TX,,,281.469.1481,,,/cypress-creek/,29.982667,-95.56931,False,1,True,False,False,False,False,2009-01-06 16:08,2012-10-29 11:16,26,,6,NSwallow,True,active,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26
0967a194-3bc7-11e1-952a-12313b0f39a2,Tellepsen Family Downtown,,,808 Pease,,Houston,TX,,,713.659.8501,,,/tellepsen-family/,29.752599,-95.370725,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active,2;3;4;6;7;9;10;11;12;13;17;19;20;22;23;24;26
097125d4-3bc7-11e1-952a-12313b0f39a2,E. Montgomery County Extension,,,16401 First St.,,Splendora,TX,,,281.689.2655,,,/e-montgomery/,30.20535,-95.180677,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active
097a9ee8-3bc7-11e1-952a-12313b0f39a2,Edgar A. Smith,,,14650 Hwy 3,,Webster,TX,,,281.486.9622,,,/edgar-a-smith/,29.572619,-95.150917,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active,2;3;4;6;7;9;10;15;16;17;19;22;23;26
09842b70-3bc7-11e1-952a-12313b0f39a2,Fort Bend,,,4433 Cartwright Rd.,,Missouri City,TX,,,281.499.9622,,,/fort-bend-family/,29.58232,-95.572811,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:53,26,,6,NSwallow,True,active;3;4;7;9;10;14;15;17;18;19;22;23;24;26
09960c96-3bc7-11e1-952a-12313b0f39a2,Huntsville,,,2906 Old Houston Road,,Huntsville,TX,,,936.295.8009,,,/huntsville/,30.732313,-95.570387,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-08 15:59,26,,6,NSwallow,True,active
099f4748-3bc7-11e1-952a-12313b0f39a2,YMCA International Services,,,"6300 Westpark, Ste 600",,Houston,TX,,,713.339.9015,,,/ymca-international/,29.723653,-95.495181,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:35,26,,6,NSwallow,True,active
09b15884-3bc7-11e1-952a-12313b0f39a2,Lake Houston,,,2420 W. Lake Houston Pkwy,,Kingwood,TX,,,281.360.2500,,,/lake-houston/,30.041266,-95.176781,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:36,26,,6,NSwallow,True,active,1;2;3;4;6;7;8;9;10;12;14;17;22;23;24;26
